,Rank,Release Group,Worldwide,Release Year,Domestic,%,Foreign,%.1
2077,38,White Fang,"$34,793,160",1991,"$34,793,160",100%,-,-
2078,39,The Doors,"$34,416,893",1991,"$34,416,893",100%,-,-
2079,40,King Ralph,"$34,002,045",1991,"$34,002,045",100%,-,-
2080,41,Curly Sue,"$33,691,313",1991,"$33,691,313",100%,-,-
2081,42,Dying Young,"$33,669,178",1991,"$33,669,178",100%,-,-
2082,43,Grand Canyon,"$33,243,020",1991,"$33,243,020",100%,-,-
2083,44,Jungle Fever,"$32,482,682",1991,"$32,482,682",100%,-,-
2084,45,Double Impact,"$30,102,717",1991,"$30,102,717",100%,-,-
2085,46,L.A. Story,"$28,862,081",1991,"$28,862,081",100%,-,-
2086,47,Deceived,"$28,738,096",1991,"$28,738,096",100%,-,-
2087,48,Necessary Roughness,"$26,255,594",1991,"$26,255,594",100%,-,-
2088,49,The Hard Way,"$25,895,485",1991,"$25,895,485",100%,-,-
2089,50,Other People's Money,"$25,682,090",1991,"$25,682,090",100%,-,-
2090,51,Don't Tell Mom the Babysitter's Dead,"$25,196,249",1991,"$25,196,249",100%,-,-
2091,52,Problem Child 2,"$25,104,700",1991,"$25,104,700",100%,-,-
2092,53,Little Man Tate,"$25,010,896",1991,"$25,010,896",100%,-,-
2093,54,Class Action,"$24,277,858",1991,"$24,277,858",100%,-,-
2094,55,The People Under the Stairs,"$24,204,154",1991,"$24,204,154",100%,-,-
2095,56,Lionheart,"$24,078,196",1991,"$24,078,196",100%,-,-
2096,57,Oscar,"$23,562,716",1991,"$23,562,716",100%,-,-
2097,58,Frankie and Johnny,"$22,773,535",1991,"$22,773,535",100%,-,-
2098,59,Pure Luck,"$22,641,969",1991,"$22,641,969",100%,-,-
2099,60,An American Tail: Fievel Goes West,"$22,166,041",1991,"$22,166,041",100%,-,-
2100,61,Only the Lonely,"$21,830,957",1991,"$21,830,957",100%,-,-
2101,62,Ricochet,"$21,756,163",1991,"$21,756,163",100%,-,-
2102,63,F/X2,"$21,082,165",1991,"$21,082,165",100%,-,-
2103,64,Mobsters,"$20,246,790",1991,"$20,246,790",100%,-,-
2104,65,House Party 2,"$19,438,638",1991,"$19,438,638",100%,-,-
2105,66,Mortal Thoughts,"$18,784,957",1991,"$18,784,957",100%,-,-
2106,67,Paradise,"$18,634,643",1991,"$18,634,643",100%,-,-
2107,68,For the Boys,"$17,860,280",1991,"$17,860,280",100%,-,-
2108,69,The NeverEnding Story II: The Next Chapter,"$17,373,527",1991,"$17,373,527",100%,-,-
2109,70,Hudson Hawk,"$17,218,080",1991,"$17,218,080",100%,-,-
2110,71,Defending Your Life,"$16,371,128",1991,"$16,371,128",100%,-,-
2111,72,Billy Bathgate,"$15,565,363",1991,"$15,565,363",100%,-,-
2112,73,Highlander II: The Quickening,"$15,556,340",1991,"$15,556,340",100%,-,-
2113,74,Switch,"$15,545,943",1991,"$15,545,943",100%,-,-
2114,75,A Kiss Before Dying,"$15,429,177",1991,"$15,429,177",100%,-,-
2115,76,Shipwrecked,"$15,104,156",1991,"$15,104,156",100%,-,-
2116,77,Toy Soldiers,"$15,073,942",1991,"$15,073,942",100%,-,-
2117,78,Madonna: Truth or Dare,"$15,014,252",1991,"$15,012,935",100%,"$1,317",<0.1%
2118,79,Child's Play 3,"$14,960,255",1991,"$14,960,255",100%,-,-
2119,80,The Commitments,"$14,919,570",1991,"$14,919,570",100%,-,-
2120,81,Rich in Died,"$14,851,083",1991,"$14,851,083",100%,-,-
2121,82,All I Want for Christmas,"$14,812,144",1991,"$14,812,144",100%,-,-
2122,83,Not Without My Daughter,"$14,789,113",1991,"$14,789,113",100%,-,-
2123,84,Flight of the Intruder,"$14,587,732",1991,"$14,587,732",100%,-,-
2124,85,Ernest Scared Stupid,"$14,143,280",1991,"$14,143,280",100%,-,-
2125,86,The Perfect Weapon,"$14,061,361",1991,"$14,061,361",100%,-,-
2126,87,Drop Dead Fred,"$13,878,334",1991,"$13,878,334",100%,-,-
2127,88,The Marrying Man,"$12,454,768",1991,"$12,454,768",100%,-,-
2128,89,Shattered,"$11,511,031",1991,"$11,511,031",100%,-,-
2129,90,Career Opportunities,"$11,336,986",1991,"$11,336,986",100%,-,-
2130,91,One Good Cop,"$11,276,846",1991,"$11,276,846",100%,-,-
2131,92,V.I. Warshawski,"$11,128,309",1991,"$11,128,309",100%,-,-
2132,93,The Super,"$11,000,863",1991,"$11,000,863",100%,-,-
2133,94,A Rage in Harlem,"$10,438,504",1991,"$10,438,504",100%,-,-
2134,95,"He Said, She Said","$9,804,775",1991,"$9,804,775",100%,-,-
2135,96,The Butcher's Wife,"$9,689,816",1991,"$9,689,816",100%,-,-
2136,97,Scenes from a Mall,"$9,563,393",1991,"$9,563,393",100%,-,-
2137,98,Guilty by Suspicion,"$9,480,198",1991,"$9,480,198",100%,-,-
2138,99,Body Parts,"$9,188,150",1991,"$9,188,150",100%,-,-
2139,100,Stone Cold,"$9,151,887",1991,"$9,151,887",100%,-,-
2140,101,Warlock,"$9,094,451",1991,"$9,094,451",100%,-,-
2141,102,Late for Dinner,"$8,906,823",1991,"$8,906,823",100%,-,-
2142,103,The Five Heartbeats,"$8,750,400",1991,"$8,750,400",100%,-,-
2143,104,Bingo,"$8,667,684",1991,"$8,667,684",100%,-,-
2144,105,Nothing But Trouble,"$8,479,793",1991,"$8,479,793",100%,-,-
2145,106,Black Robe,"$8,211,952",1991,"$8,211,952",100%,-,-
2146,107,If Looks Could Kill,"$7,788,597",1991,"$7,788,597",100%,-,-
2147,108,Strictly Business,"$7,683,267",1991,"$7,683,267",100%,-,-
2148,109,Harley Davidson and the Marlboro Man,"$7,434,726",1991,"$7,434,726",100%,-,-
2149,110,Wild Hearts Can't Be Broken,"$7,294,835",1991,"$7,294,835",100%,-,-
2150,111,Rush,"$7,241,350",1991,"$7,241,350",100%,-,-
2151,112,Suburban Commando,"$6,948,859",1991,"$6,948,859",100%,-,-
2152,113,Defenseless,"$6,413,375",1991,"$6,413,375",100%,-,-
2153,114,My Own Private Idaho,"$6,401,336",1991,"$6,401,336",100%,-,-
2154,115,Rambling Rose,"$6,266,621",1991,"$6,266,621",100%,-,-
2155,116,Mystery Date,"$6,166,819",1991,"$6,166,819",100%,-,-
2156,117,Barton Fink,"$6,153,939",1991,"$6,153,939",100%,-,-
2157,118,Europa Europa,"$5,575,738",1991,"$5,575,738",100%,-,-
2158,119,Delirious,"$5,546,827",1991,"$5,546,827",100%,-,-
2159,120,Livin' Large!,"$5,467,959",1991,"$5,467,959",100%,-,-
2160,121,Eve of Destruction,"$5,451,119",1991,"$5,451,119",100%,-,-
2161,122,The Object of Beauty,"$5,136,759",1991,"$5,136,759",100%,-,-
2162,123,Nikita,"$5,017,971",1991,"$5,017,971",100%,-,-
2163,124,True Identity,"$4,693,236",1991,"$4,693,236",100%,-,-
2164,125,The Hitman,"$4,654,288",1991,"$4,654,288",100%,-,-
2165,126,Dutch,"$4,603,929",1991,"$4,603,929",100%,-,-
2166,127,Run,"$4,409,328",1991,"$4,409,328",100%,-,-
2167,128,Hear My Song,"$4,313,473",1991,"$4,313,473",100%,-,-
2168,129,Popcorn,"$4,205,000",1991,"$4,205,000",100%,-,-
2169,130,Life Stinks,"$4,102,526",1991,"$4,102,526",100%,-,-
2170,131,Impromptu,"$4,076,211",1991,"$4,076,211",100%,-,-
2171,132,Antarctica,"$4,075,362",1991,-,-,"$4,075,362",100%
2172,133,Paris Is Burning,"$3,779,620",1991,"$3,779,620",100%,-,-
2173,134,Mannequin: On the Move,"$3,752,428",1991,"$3,752,428",100%,-,-
2174,135,My Heroes Have Always Been Cowboys,"$3,603,615",1991,"$3,603,615",100%,-,-
2175,136,Shout,"$3,547,684",1991,"$3,547,684",100%,-,-
2176,137,Homicide,"$2,971,661",1991,"$2,971,661",100%,-,-
2177,138,Another You,"$2,865,916",1991,"$2,865,916",100%,-,-
2178,139,The Man in the Moon,"$2,853,801",1991,"$2,853,801",100%,-,-
2179,140,Return to the Blue Lagoon,"$2,807,854",1991,"$2,807,854",100%,-,-
2180,141,Straight Out of Brooklyn,"$2,712,293",1991,"$2,712,293",100%,-,-
2181,142,Naked Lunch,"$2,641,357",1991,"$2,641,357",100%,-,-
2182,143,Showdown in Little Tokyo,"$2,275,557",1991,"$2,275,557",100%,-,-
2183,144,29th Street,"$2,120,564",1991,"$2,120,564",100%,-,-
2184,145,Cadence,"$2,070,871",1991,"$2,070,871",100%,-,-
2185,146,The Double Life of Véronique,"$2,002,966",1991,"$1,999,955",99.8%,"$3,011",0.2%
2186,147,Ju Dou,"$1,986,433",1991,"$1,986,433",100%,-,-
2187,148,Madame Bovary,"$1,942,423",1991,"$1,942,423",100%,-,-
2188,149,Spartacus 1991 Re-release,"$1,830,650",1991,"$1,830,650",100%,-,-
2189,150,Prospero's Books,"$1,750,301",1991,"$1,750,301",100%,-,-
2190,151,Everybody's Fine,"$1,745,470",1991,"$1,745,470",100%,-,-
2191,152,My Father's Glory,"$1,730,856",1991,"$1,730,856",100%,-,-
2192,153,High Heels,"$1,710,057",1991,"$1,710,057",100%,-,-
2193,154,Citizen Kane 1991 Re-release,"$1,585,634",1991,"$1,585,634",100%,-,-
2194,155,Truly Madly Deeply,"$1,554,742",1991,"$1,554,742",100%,-,-
2195,156,Life Is Sweet,"$1,516,414",1991,"$1,516,414",100%,-,-
2196,157,Company Business,"$1,501,785",1991,"$1,501,785",100%,-,-
2197,158,My Mother's Castle,"$1,477,071",1991,"$1,477,071",100%,-,-
2198,159,Mister Johnson,"$1,464,242",1991,"$1,464,242",100%,-,-
2199,160,Book of Love,"$1,382,259",1991,"$1,382,259",100%,-,-
2200,161,At Play in the Fields of the Lord,"$1,345,903",1991,"$1,345,903",100%,-,-
2201,162,City of Hope,"$1,345,015",1991,"$1,345,015",100%,-,-
2202,163,Hearts of Darkness: A Filmmaker's Apocalypse,"$1,318,449",1991,"$1,318,449",100%,-,-
2203,164,The Rapture,"$1,277,404",1991,"$1,277,404",100%,-,-
2204,165,Kickboxer 2: The Road Back,"$1,250,712",1991,"$1,250,712",100%,-,-
2205,166,The Comfort of Strangers,"$1,244,381",1991,"$1,244,381",100%,-,-
2206,167,Slacker,"$1,228,108",1991,"$1,228,108",100%,-,-
2207,168,Cool as Ice,"$1,193,062",1991,"$1,193,062",100%,-,-
2208,169,Year of the Gun,"$1,182,273",1991,"$1,182,273",100%,-,-
2209,170,The Unborn,"$1,159,578",1991,"$1,159,578",100%,-,-
2210,171,Daddy Nostalgia,"$1,108,429",1991,"$1,108,429",100%,-,-
2211,172,Kafka,"$1,059,071",1991,"$1,059,071",100%,-,-
2212,173,An Angel at My Table,"$1,054,638",1991,"$1,054,638",100%,-,-
2213,174,Whore,"$1,008,404",1991,"$1,008,404",100%,-,-
2214,175,Screenplay: Antonia and Jane,"$1,002,078",1991,"$1,002,078",100%,-,-
2215,176,Meeting Venus,"$1,000,348",1991,"$1,000,348",100%,-,-
2216,177,Talkin' Dirty After Dark,"$978,775",1991,"$978,775",100%,-,-
2217,178,The Taking of Beverly Hills,"$939,277",1991,"$939,277",100%,-,-
2218,179,Beastmaster 2: Through the Portal of Time,"$869,325",1991,"$869,325",100%,-,-
2219,180,The 23rd Tournee of Animation,"$862,309",1991,"$862,309",100%,-,-
2220,181,The Miracle,"$835,519",1991,"$835,519",100%,-,-
2221,182,Until the End of the World,"$829,625",1991,"$829,625",100%,-,-
2222,183,Poison,"$787,280",1991,"$787,280",100%,-,-
2223,184,Mindwalk,"$774,048",1991,"$774,048",100%,-,-
2224,185,The Story of Boys & Girls,"$741,221",1991,"$741,221",100%,-,-
2225,186,Rosencrantz & Guildenstern Are Dead,"$739,104",1991,"$739,104",100%,-,-
2226,187,The British Invasion Returns,"$729,102",1991,"$729,102",100%,-,-
2227,188,Thousand Pieces of Gold,"$717,772",1991,"$717,772",100%,-,-
2228,189,Dice Rules,"$637,327",1991,"$637,327",100%,-,-
2229,190,Queens Logic,"$612,781",1991,"$612,781",100%,-,-
2230,191,Auntie Danielle,"$604,624",1991,"$604,624",100%,-,-
2231,192,The Pope Must Diet,"$582,510",1991,"$582,510",100%,-,-
2232,193,The Search for Signs of Intelligent Life in the Universe,"$579,854",1991,"$579,854",100%,-,-
2233,194,Rich Girl,"$561,000",1991,"$561,000",100%,-,-
2234,195,Hangin' with the Homeboys,"$532,933",1991,"$532,933",100%,-,-
2235,196,"Sex, Drugs, Rock & Roll","$530,392",1991,"$530,392",100%,-,-
2236,197,Rhapsody in August,"$516,431",1991,"$516,431",100%,-,-
2237,198,Meet the Applegates,"$485,772",1991,"$485,772",100%,-,-
2238,199,McBain,"$456,127",1991,"$456,127",100%,-,-
2239,200,Drowning by Numbers,"$424,773",1991,"$424,773",100%,-,-
2240,1,Aladdin,"$346,476,295",1992,"$217,350,219",62.7%,"$129,126,076",37.3%
2241,2,Home Alone 2: Lost in New York,"$173,585,516",1992,"$173,585,516",100%,-,-
2242,3,Batman Returns,"$162,831,698",1992,"$162,831,698",100%,-,-
2243,4,Lethal Weapon 3,"$144,731,527",1992,"$144,731,527",100%,-,-
2244,5,A Few Good Men,"$141,340,178",1992,"$141,340,178",100%,-,-
2245,6,Sister Act,"$139,605,150",1992,"$139,605,150",100%,-,-
2246,7,The Bodyguard,"$121,945,720",1992,"$121,945,720",100%,-,-
2247,8,Wayne's World,"$121,697,323",1992,"$121,697,323",100%,-,-
2248,9,Basic Instinct,"$117,727,224",1992,"$117,727,224",100%,-,-
2249,10,A League of Their Own,"$107,533,928",1992,"$107,533,928",100%,-,-
2250,11,Unforgiven,"$101,157,447",1992,"$101,157,447",100%,-,-
2251,12,The Hand that Rocks the Cradle,"$88,036,683",1992,"$88,036,683",100%,-,-
2252,13,Under Siege,"$83,563,139",1992,"$83,563,139",100%,-,-
2253,14,Patriot Games,"$83,351,587",1992,"$83,351,587",100%,-,-
2254,15,Bram Stoker's Dracula,"$82,522,790",1992,"$82,522,790",100%,-,-
2255,16,White Men Can't Jump,"$76,253,806",1992,"$76,253,806",100%,-,-
2256,17,The Last of the Mohicans,"$75,505,856",1992,"$75,505,856",100%,-,-
2257,18,Boomerang,"$70,052,444",1992,"$70,052,444",100%,-,-
2258,19,Scent of a Woman,"$63,095,253",1992,"$63,095,253",100%,-,-
2259,20,The Crying Game,"$62,548,947",1992,"$62,548,947",100%,-,-
2260,21,Far and Away,"$58,883,840",1992,"$58,883,840",100%,-,-
2261,22,"Honey, I Blew Up the Kid","$58,662,452",1992,"$58,662,452",100%,-,-
2262,23,HouseSitter,"$58,500,635",1992,"$58,500,635",100%,-,-
2263,24,Death Becomes Her,"$58,422,650",1992,"$58,422,650",100%,-,-
2264,25,Unlawful Entry,"$57,138,719",1992,"$57,138,719",100%,-,-
2265,26,Beethoven,"$57,114,049",1992,"$57,114,049",100%,-,-
2266,27,Forever Young,"$55,956,187",1992,"$55,956,187",100%,-,-
2267,28,Alien 3,"$55,473,545",1992,"$55,473,545",100%,-,-
2268,29,My Cousin Vinny,"$52,929,168",1992,"$52,929,168",100%,-,-
2269,30,Sneakers,"$51,432,691",1992,"$51,432,691",100%,-,-
2270,31,The Mighty Ducks,"$50,752,337",1992,"$50,752,337",100%,-,-
2271,32,Wayne's World 2,"$48,198,019",1992,"$48,197,805",100%,$214,<0.1%
2272,33,Malcolm X,"$48,169,910",1992,"$48,169,910",100%,-,-
2273,34,Single White Female,"$48,017,402",1992,"$48,017,402",100%,-,-
2274,35,The Distinguished Gentleman,"$46,666,502",1992,"$46,666,502",100%,-,-
2275,36,Medicine Man,"$45,500,797",1992,"$45,500,797",100%,-,-
2276,37,Passenger 57,"$44,065,653",1992,"$44,065,653",100%,-,-
2277,38,A River Runs Through It,"$43,440,294",1992,"$43,440,294",100%,-,-
2278,39,Encino Man,"$40,693,477",1992,"$40,693,477",100%,-,-
2279,40,Mo' Money,"$40,227,006",1992,"$40,227,006",100%,-,-
2280,41,Universal Soldier,"$36,299,898",1992,"$36,299,898",100%,-,-
2281,42,Honeymoon in Vegas,"$35,208,854",1992,"$35,208,854",100%,-,-
2282,43,The Lawnmower Man,"$32,100,816",1992,"$32,100,816",100%,-,-
2283,44,Sleepwalkers,"$30,524,763",1992,"$30,524,763",100%,-,-
2284,45,The Muppet Christmas Carol,"$29,192,434",1992,"$27,281,507",93.5%,"$1,910,927",6.5%
2285,46,3 Ninjas,"$29,000,301",1992,"$29,000,301",100%,-,-
2286,47,Final Analysis,"$28,590,665",1992,"$28,590,665",100%,-,-
2287,48,Stop! Or My Mom Will Shoot,"$28,411,210",1992,"$28,411,210",100%,-,-
2288,49,Howards End,"$25,966,555",1992,"$25,966,555",100%,-,-
2289,50,Candyman,"$25,792,310",1992,"$25,792,310",100%,-,-
2290,51,The Cutting Edge,"$25,105,517",1992,"$25,105,517",100%,-,-
2291,52,FernGully: The Last Rainforest,"$24,650,296",1992,"$24,650,296",100%,-,-
2292,53,Hoffa,"$24,276,506",1992,"$24,276,506",100%,-,-
2293,54,Leap of Faith,"$23,369,283",1992,"$23,369,283",100%,-,-
2294,55,Toys,"$23,278,931",1992,"$23,278,931",100%,-,-
2295,56,Thunderheart,"$22,660,758",1992,"$22,660,758",100%,-,-
2296,57,Captain Ron,"$22,518,097",1992,"$22,518,097",100%,-,-
2297,58,The Player,"$21,706,101",1992,"$21,706,101",100%,-,-
2298,59,Shining Through,"$21,633,781",1992,"$21,633,781",100%,-,-
2299,60,Consenting Adults,"$21,591,728",1992,"$21,591,728",100%,-,-
2300,61,Raising Cain,"$21,370,057",1992,"$21,370,057",100%,-,-
2301,62,Straight Talk,"$21,202,099",1992,"$21,202,099",100%,-,-
2302,63,Kuffs,"$21,142,815",1992,"$21,142,815",100%,-,-
2303,64,Mr. Baseball,"$20,883,046",1992,"$20,883,046",100%,-,-
2304,65,Juice,"$20,146,880",1992,"$20,146,880",100%,-,-
2305,66,Prelude to a Kiss,"$20,006,730",1992,"$20,006,730",100%,-,-
2306,67,Hero,"$19,507,345",1992,"$19,507,345",100%,-,-
2307,68,Pinocchio 1992 Re-release,"$18,863,559",1992,"$18,863,559",100%,-,-
2308,69,Singles,"$18,471,850",1992,"$18,471,850",100%,-,-
2309,70,Used People,"$17,957,265",1992,"$17,957,265",100%,-,-
2310,71,The Babe,"$17,530,973",1992,"$17,530,973",100%,-,-
2311,72,Freejack,"$17,129,026",1992,"$17,129,026",100%,-,-
2312,73,Pet Sematary II,"$17,092,453",1992,"$17,092,453",100%,-,-
2313,74,Deep Cover,"$16,639,799",1992,"$16,639,799",100%,-,-
2314,75,Buffy the Vampire Slayer,"$16,624,456",1992,"$16,624,456",100%,-,-
2315,76,Pure Country,"$15,164,458",1992,"$15,164,458",100%,-,-
2316,77,Ladybugs,"$14,796,494",1992,"$14,796,494",100%,-,-
2317,78,School Ties,"$14,715,067",1992,"$14,715,067",100%,-,-
2318,79,City of Joy,"$14,683,921",1992,"$14,683,921",100%,-,-
2319,80,Memoirs of an Invisible Man,"$14,358,033",1992,"$14,358,033",100%,-,-
2320,81,Rapid Fire,"$14,356,479",1992,"$14,356,479",100%,-,-
2321,82,Cool World,"$14,110,589",1992,"$14,110,589",100%,-,-
2322,83,Mr. Saturday Night,"$13,351,357",1992,"$13,351,357",100%,-,-
2323,84,The Great Mouse Detective 1992 Re-release,"$13,288,756",1992,"$13,288,756",100%,-,-
2324,85,Class Act,"$13,272,113",1992,"$13,272,113",100%,-,-
2325,86,Trespass,"$13,249,535",1992,"$13,249,535",100%,-,-
2326,87,Enchanted April,"$13,200,170",1992,"$13,200,170",100%,-,-
2327,88,American Me,"$13,086,430",1992,"$13,086,430",100%,-,-
2328,89,Hellraiser III: Hell on Earth,"$12,534,961",1992,"$12,534,961",100%,-,-
2329,90,A Stranger Among Us,"$12,282,994",1992,"$12,282,994",100%,-,-
2330,91,Rock-A-Doodle,"$11,657,385",1992,"$11,657,385",100%,-,-
2331,92,Jennifer 8,"$11,390,479",1992,"$11,390,479",100%,-,-
2332,93,Whispers in the Dark,"$11,124,511",1992,"$11,124,511",100%,-,-
2333,94,Stay Tuned,"$10,736,401",1992,"$10,736,401",100%,-,-
2334,95,Glengarry Glen Ross,"$10,725,228",1992,"$10,725,228",100%,-,-
2335,96,Husbands and Wives,"$10,555,619",1992,"$10,555,619",100%,-,-
2336,97,Chaplin,"$9,493,259",1992,"$9,493,259",100%,-,-
2337,98,Gladiator,"$9,223,441",1992,"$9,223,441",100%,-,-
2338,99,White Sands,"$9,011,574",1992,"$9,011,574",100%,-,-
2339,100,Once Upon a Crime...,"$8,669,847",1992,"$8,669,847",100%,-,-
2340,101,Bebe's Kids,"$8,442,162",1992,"$8,442,162",100%,-,-
2341,102,Dr. Giggles,"$8,403,433",1992,"$8,403,433",100%,-,-
2342,103,Christopher Columbus: The Discovery,"$8,251,071",1992,"$8,251,071",100%,-,-
2343,104,Damage,"$7,532,911",1992,"$7,532,911",100%,-,-
2344,105,Mississippi Masala,"$7,308,786",1992,"$7,308,786",100%,-,-
2345,106,Sarafina!,"$7,306,242",1992,"$7,306,242",100%,-,-
2346,107,1492: Conquest of Paradise,"$7,191,399",1992,"$7,191,399",100%,-,-
2347,108,The Mambo Kings,"$6,742,168",1992,"$6,742,168",100%,-,-
2348,109,Article 99,"$6,375,979",1992,"$6,375,979",100%,-,-
2349,110,Night and the City,"$6,202,756",1992,"$6,202,756",100%,-,-
2350,111,Folks!,"$6,132,924",1992,"$6,132,924",100%,-,-
2351,112,Indochine,"$5,603,158",1992,"$5,603,158",100%,-,-
2352,113,Wind,"$5,519,569",1992,"$5,519,569",100%,-,-
2353,114,Of Mice and Men,"$5,471,088",1992,"$5,471,088",100%,-,-
2354,115,Split Second,"$5,430,822",1992,"$5,430,822",100%,-,-
2355,116,The Lover,"$5,013,090",1992,"$4,899,194",97.7%,"$113,896",2.3%
2356,117,Innocent Blood,"$4,943,279",1992,"$4,943,279",100%,-,-
2357,118,The Playboys,"$4,906,900",1992,"$4,906,900",100%,-,-
2358,119,Diggstown,"$4,836,637",1992,"$4,836,637",100%,-,-
2359,120,Passion Fish,"$4,814,619",1992,"$4,814,619",100%,-,-
2360,121,Radio Flyer,"$4,651,977",1992,"$4,651,977",100%,-,-
2361,122,Blade Runner The Final Cut,"$4,642,280",1992,"$3,740,330",80.6%,"$901,950",19.4%
2362,123,Mediterraneo,"$4,532,791",1992,"$4,532,791",100%,-,-
2363,124,Bob Roberts,"$4,479,470",1992,"$4,479,470",100%,-,-
2364,125,Twin Peaks: Fire Walk with Me,"$4,160,851",1992,"$4,160,851",100%,-,-
2365,126,Man Trouble,"$4,096,030",1992,"$4,096,030",100%,-,-
2366,127,Peter's Friends,"$4,058,564",1992,"$4,058,564",100%,-,-
2367,128,Passed Away,"$4,030,793",1992,"$4,030,793",100%,-,-
2368,129,The Gun in Betty Lou's Handbag,"$3,721,911",1992,"$3,721,911",100%,-,-
2369,130,Traces of Red,"$3,206,714",1992,"$3,206,714",100%,-,-
2370,131,K2,"$3,106,559",1992,"$3,106,559",100%,-,-
2371,132,Blame It on the Bellboy,"$3,104,545",1992,"$3,104,545",100%,-,-
2372,133,Tous les matins du monde,"$3,089,497",1992,"$3,089,497",100%,-,-
2373,134,The Public Eye,"$3,067,917",1992,"$3,067,917",100%,-,-
2374,135,CrissCross,"$3,052,738",1992,"$3,052,738",100%,-,-
2375,136,This Is My Life,"$2,922,094",1992,"$2,922,094",100%,-,-
2376,137,Reservoir Dogs,"$2,832,029",1992,"$2,832,029",100%,-,-
2377,138,The Power of One,"$2,827,107",1992,"$2,827,107",100%,-,-
2378,139,Newsies,"$2,819,485",1992,"$2,819,485",100%,-,-
2379,140,Year of the Comet,"$2,791,515",1992,"$2,791,515",100%,-,-
2380,141,Shadows and Fog,"$2,735,731",1992,"$2,735,731",100%,-,-
2381,142,Raise the Red Lantern,"$2,603,061",1992,"$2,603,061",100%,-,-
2382,143,Aces: Iron Eagle III,"$2,517,600",1992,"$2,517,600",100%,-,-
2383,144,Flirting,"$2,415,396",1992,"$2,415,396",100%,-,-
2384,145,Love Crimes,"$2,287,928",1992,"$2,287,928",100%,-,-
2385,146,Noises Off...,"$2,280,148",1992,"$2,280,148",100%,-,-
2386,147,A Brief History of Time,"$2,279,692",1992,"$2,279,692",100%,-,-
2387,148,Mom and Dad Save the World,"$2,034,470",1992,"$2,034,470",100%,-,-
2388,149,Gate 2: The Trespassers,"$2,032,973",1992,"$2,032,973",100%,-,-
2389,150,Bad Lieutenant,"$2,019,469",1992,"$2,000,022",99%,"$19,447",1%
2390,151,Night on Earth,"$2,015,810",1992,"$2,015,810",100%,-,-
2391,152,Poison Ivy,"$1,829,804",1992,"$1,829,804",100%,-,-
2392,153,Delicatessen,"$1,794,187",1992,"$1,794,187",100%,-,-
2393,154,The Waterdance,"$1,723,319",1992,"$1,723,319",100%,-,-
2394,155,Casablanca 1992 Re-release,"$1,719,913",1992,"$1,719,913",100%,-,-
